method,mashup_id,num_positives,Recall@5,HitRate@5,NDCG@5,MAP@5,Recall@10,HitRate@10,NDCG@10,MAP@10,seed
SCF-LightGCN+BGE+Popularity,5583,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5585,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,5589,1,1.0,1.0,0.6309297535714575,0.5,1.0,1.0,0.6309297535714575,0.5,0
SCF-LightGCN+BGE+Popularity,5599,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5600,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5604,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5605,1,1.0,1.0,0.43067655807339306,0.25,1.0,1.0,0.43067655807339306,0.25,0
SCF-LightGCN+BGE+Popularity,5609,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5610,1,1.0,1.0,0.38685280723454163,0.2,1.0,1.0,0.38685280723454163,0.2,0
SCF-LightGCN+BGE+Popularity,5612,2,0.5,1.0,0.6131471927654584,0.5,1.0,1.0,0.8175295903539445,0.6428571428571428,0
SCF-LightGCN+BGE+Popularity,5615,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5616,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5619,1,0.0,0.0,0.0,0.0,1.0,1.0,0.3562071871080222,0.16666666666666666,0
SCF-LightGCN+BGE+Popularity,5643,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5648,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5652,21,0.047619047619047616,1.0,0.3391602052736161,0.2,0.14285714285714285,1.0,0.37185395737611554,0.17619047619047618,0
SCF-LightGCN+BGE+Popularity,5661,1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,5663,1,1.0,1.0,0.38685280723454163,0.2,1.0,1.0,0.38685280723454163,0.2,0
SCF-LightGCN+BGE+Popularity,5674,2,0.5,1.0,0.2640681225725909,0.125,0.5,1.0,0.2640681225725909,0.125,0
SCF-LightGCN+BGE+Popularity,5689,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
SCF-LightGCN+BGE+Popularity,5696,1,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0
SCF-LightGCN+BGE+Popularity,5697,2,1.0,1.0,0.6934264036172708,0.5833333333333333,1.0,1.0,0.6934264036172708,0.5833333333333333,0
SCF-LightGCN+BGE+Popularity,5712,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
SCF-LightGCN+BGE+Popularity,5724,2,1.0,1.0,0.5706417189553201,0.41666666666666663,1.0,1.0,0.5706417189553201,0.41666666666666663,0
SCF-LightGCN+BGE+Popularity,5725,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5734,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
SCF-LightGCN+BGE+Popularity,5736,2,0.5,1.0,0.6131471927654584,0.5,0.5,1.0,0.6131471927654584,0.5,0
