subset,method_a,method_b,metric,num_mashups,mean_a,mean_b,mean_difference,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm,significance,ci_excludes_zero
deduplicated_cosine_lt_095,Inductive LightGCN,Graph+BGE,NDCG@5,1521,0.63859507474103,0.5353592777250109,0.10323579701601923,0.08994672631465186,0.1164112365316862,100005.5,2.8609754152641657e-53,0.5708793271757904,0.47731755424063116,0.36554898093359633,4.291463122896249e-52,***,True
deduplicated_cosine_lt_095,Inductive LightGCN,Graph+BGE,MAP@5,1521,0.5858879392212726,0.4762735895000852,0.10961434972118733,0.09657155836803273,0.12303822259965422,92468.0,9.178279602888342e-58,0.597405961759923,0.4707429322813938,0.3701512163050625,1.5603075324910183e-56,***,True
deduplicated_cosine_lt_095,Inductive LightGCN,Graph+BGE,Recall@10,1521,0.703219724568252,0.6448740795888944,0.058345644979357444,0.04393204127336926,0.07228741067626884,42252.0,1.1429543333066357e-16,0.41282414741932794,0.24194608809993426,0.6476002629848784,9.143634666453086e-16,***,True
deduplicated_cosine_lt_095,Inductive LightGCN,Graph+BGE,NDCG@10,1521,0.6566739284249604,0.5600945212772249,0.09657940714773566,0.08447248239355379,0.1088976565940069,114579.0,5.575898590340776e-55,0.5633422256097561,0.5055884286653517,0.326758711374096,8.921437744545242e-54,***,True
deduplicated_cosine_lt_095,Inductive LightGCN,Graph+BGE,MAP@10,1521,0.5938590334957857,0.48761052268327404,0.10624851081251162,0.09354125512988372,0.1189129033675101,108763.0,4.930400242724892e-59,0.584696511485826,0.5016436554898094,0.32741617357001973,8.874720436904806e-58,***,True
deduplicated_cosine_lt_095,Inductive BPR-MF,Graph+BGE,Recall@5,1521,0.6315253955330518,0.5744217491238638,0.05710364640918794,0.04313613640450715,0.0711968597831679,44631.0,4.636588215929029e-18,0.4235433914986503,0.2511505588428665,0.6344510190664037,4.1729293943361265e-17,***,True
deduplicated_cosine_lt_095,Inductive BPR-MF,Graph+BGE,NDCG@5,1521,0.6279154728755291,0.5353592777250109,0.09255619515051819,0.07948911411447453,0.10553228388739971,104305.0,8.776382603854156e-46,0.5332953007371612,0.4510190664036818,0.378698224852071,1.0531659124624988e-44,***,True
deduplicated_cosine_lt_095,Inductive BPR-MF,Graph+BGE,MAP@5,1521,0.5768178220956,0.4762735895000852,0.10054423259551462,0.0868607991209487,0.11373653724401586,96805.5,7.293227350855169e-51,0.5640894016251157,0.4477317554240631,0.3806706114398422,1.0210518291197238e-49,***,True
deduplicated_cosine_lt_095,Inductive BPR-MF,Graph+BGE,Recall@10,1521,0.6798656851950275,0.6448740795888944,0.034991605606133146,0.022151425770434694,0.048238404835322185,47048.0,3.7605430760426445e-08,0.28069960861056753,0.210387902695595,0.6640368178829718,2.2563258456255867e-07,***,True
deduplicated_cosine_lt_095,Inductive BPR-MF,Graph+BGE,NDCG@10,1521,0.6436234850883271,0.5600945212772249,0.08352896381110225,0.0713122639708114,0.0954789299563231,122272.5,1.3536758343775431e-44,0.5113986013986014,0.4720578566732413,0.3425378040762656,1.4890434178152974e-43,***,True
deduplicated_cosine_lt_095,Inductive BPR-MF,Graph+BGE,MAP@10,1521,0.5839420854116112,0.48761052268327404,0.09633156272833726,0.0835877121353651,0.10919230866032097,113355.5,2.383507677114584e-50,0.5452145532305853,0.4700854700854701,0.3438527284681131,3.0985599802489593e-49,***,True
deduplicated_cosine_lt_095,Inductive LightGCN,Inductive BPR-MF,Recall@5,1521,0.6485669533372658,0.6315253955330518,0.017041557804213955,0.010007144172578098,0.02430703423430248,11717.5,1.0456445816023972e-05,0.3145857096896844,0.10387902695595003,0.8284023668639053,4.182578326409589e-05,***,True
deduplicated_cosine_lt_095,Inductive LightGCN,Inductive BPR-MF,NDCG@5,1521,0.63859507474103,0.6279154728755291,0.010679601865501058,0.005160211468777364,0.01618279809814679,49817.0,0.0015915502651425602,0.16495692111703375,0.1761998685075608,0.6791584483892176,0.0031831005302851204,**,True
deduplicated_cosine_lt_095,Inductive LightGCN,Inductive BPR-MF,MAP@5,1521,0.5858879392212726,0.5768178220956,0.009070117125672681,0.0033091715976331375,0.015007938247254486,50825.0,0.005705069439372722,0.14456188777055912,0.1755424063116371,0.6798159105851413,0.005705069439372722,**,True
deduplicated_cosine_lt_095,Inductive LightGCN,Inductive BPR-MF,Recall@10,1521,0.703219724568252,0.6798656851950275,0.0233540393732243,0.015536867126193097,0.031515717828249246,16472.5,7.783060751747303e-09,0.37038948132859384,0.1334648257725181,0.7876397107166337,5.448142526223112e-08,***,True
deduplicated_cosine_lt_095,Inductive LightGCN,Inductive BPR-MF,NDCG@10,1521,0.6566739284249604,0.6436234850883271,0.01305044333663339,0.007623526782139081,0.018653033589226924,71700.5,8.1025235138911e-06,0.20992490482250983,0.22287968441814596,0.6042077580539119,4.05126175694555e-05,***,True
