subset,method,num_mashups,num_seeds,Recall@5_mean,Recall@5_std,NDCG@5_mean,NDCG@5_std,HitRate@5_mean,HitRate@5_std,MAP@5_mean,MAP@5_std,Recall@10_mean,Recall@10_std,NDCG@10_mean,NDCG@10_std,HitRate@10_mean,HitRate@10_std,MAP@10_mean,MAP@10_std
deduplicated_no_api_mention,Inductive BPR-MF,893,3,0.6307026648851957,0.003247383401370035,0.6270546040308386,0.0019233300047588864,0.7820082120194102,0.002939159340803205,0.5820320600555763,0.0014567981404393184,0.6809219939926087,0.0033715062465684786,0.6426278219998118,0.0016868446374414697,0.8174692049272116,0.0018286597557171799,0.58825455446235,0.0016338783151333297
deduplicated_no_api_mention,Inductive LightGCN,893,3,0.6492118422409575,0.0012175429253537126,0.6401441066207295,0.0010266555193223165,0.7988055244494214,0.0013966619584822684,0.593909626311642,0.0009615479267870077,0.6998673578164389,0.0015132100527375043,0.655836286879523,0.001356026777537726,0.8346397909667788,0.0013966619584822684,0.599762263434676,0.001263242089687925
deduplicated_no_api_mention,Graph-only,893,3,0.42165660843778224,0.0,0.4264300609977559,0.00015442454494637615,0.5520716685330347,0.0,0.39360706731367423,0.00019396314679435585,0.5121766447255545,0.0029465358870276667,0.45502065770194733,0.0010489008166118558,0.6606942889137738,0.0009143298778586353,0.4029418922602013,0.0006066594720551178
deduplicated_no_api_mention,Graph+BGE,893,3,0.5649272108662137,0.021661281029582168,0.5076147054352708,0.05381428816366286,0.7140724150802539,0.02612381964452811,0.45105760856040805,0.061528361625424376,0.638224694658724,0.0045759092613384955,0.5332495877270529,0.04682531060534697,0.7838745800671892,0.004838178946179783,0.4620899135856076,0.05807720139661663
full,Popularity,1645,1,0.3920582599117403,0.0,0.3602112312970252,0.0,0.5458966565349544,0.0,0.3107272880783519,0.0,0.48210781930414187,0.0,0.39096643299064254,0.0,0.6413373860182371,0.0,0.32300622309601534,0.0
full,TF-IDF,1645,1,0.30084954205727293,0.0,0.2608013078321578,0.0,0.40182370820668695,0.0,0.22300371496116175,0.0,0.36822992665284016,0.0,0.2857315891487139,0.0,0.48936170212765956,0.0,0.23344384280223401,0.0
full,BM25,1645,1,0.3378040237730057,0.0,0.29736858786976683,0.0,0.4541033434650456,0.0,0.2562571766295171,0.0,0.4113492091820994,0.0,0.32361115730836787,0.0,0.5416413373860183,0.0,0.26722806001833355,0.0
full,Category-Jaccard,1645,1,0.09938407068298695,0.0,0.07505640310646228,0.0,0.1458966565349544,0.0,0.05832117527862209,0.0,0.14008052493299028,0.0,0.08943287128960088,0.0,0.20851063829787234,0.0,0.06348242228333413,0.0
full,BGE,1645,1,0.25453904638778585,0.0,0.22136790418623042,0.0,0.3434650455927052,0.0,0.19040206011482608,0.0,0.3151822835963726,0.0,0.24349075001019838,0.0,0.42613981762917935,0.0,0.19941439105192904,0.0
full,Inductive BPR-MF,1645,3,0.6523010209822643,0.002264325475087601,0.6506183768207418,0.001559317840287712,0.811144883485309,0.002238168392540493,0.6018887200270179,0.0013188382891476693,0.6982915477632377,0.0017439410710430895,0.6652096402902451,0.00011091274525084983,0.8374873353596758,0.0007581879203189058,0.6084375099077118,0.0006397641547177236
