method,seed,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,0,772,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,775,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,777,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,780,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,781,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,782,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.6666666666666666,0.6364391809889587,0.4444444444444444
Graph+BGE,0,782,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,788,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,793,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,795,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,803,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,810,Head,4,0.75,0.8318724637288826,0.75,1.0,0.9709286432396583,0.9166666666666666
Graph+BGE,0,810,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,811,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,813,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,821,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,822,Head,1,0.0,0.0,0.0,1.0,0.3333333333333333,0.14285714285714285
Graph+BGE,0,825,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.6666666666666666,0.617319681505689,0.4166666666666667
Graph+BGE,0,831,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,833,Head,9,0.2222222222222222,0.4703652827859579,0.27999999999999997,0.4444444444444444,0.4880470105041527,0.2746031746031746
Graph+BGE,0,833,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,833,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,834,Head,5,0.4,0.5531464700081437,0.4,0.4,0.5531464700081437,0.4
Graph+BGE,0,837,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,840,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.6666666666666666
Graph+BGE,0,840,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,842,Head,4,0.75,0.75369761125927,0.6041666666666666,0.75,0.75369761125927,0.6041666666666666
Graph+BGE,0,845,Head,15,0.2,0.6843515475204855,0.52,0.3333333333333333,0.5771493379489847,0.36
Graph+BGE,0,845,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,845,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,852,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,856,Head,5,0.2,0.3391602052736161,0.2,0.2,0.3391602052736161,0.2
Graph+BGE,0,858,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,863,Head,2,1.0,0.9197207891481876,0.8333333333333333,1.0,0.9197207891481876,0.8333333333333333
Graph+BGE,0,863,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,867,Head,6,0.16666666666666666,0.14606834984270645,0.05,0.3333333333333333,0.21779548001177884,0.075
Graph+BGE,0,869,Head,4,0.5,0.6366824387328317,0.5,0.75,0.7598336331031966,0.59375
Graph+BGE,0,875,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,879,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,883,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,886,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,893,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,896,Head,1,1.0,0.5,0.3333333333333333,1.0,0.5,0.3333333333333333
Graph+BGE,0,901,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,904,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,905,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,908,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,920,Head,2,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,920,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,928,Head,4,0.5,0.5855700749881525,0.41666666666666663,0.75,0.7087212693585175,0.5104166666666666
Graph+BGE,0,928,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,928,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,931,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,0,955,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,958,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,959,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,961,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,962,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,962,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,972,Head,2,1.0,0.8503449055347546,0.7,1.0,0.8503449055347546,0.7
Graph+BGE,0,975,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,979,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.6666666666666666,0.6049306994552042,0.39999999999999997
Graph+BGE,0,979,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,0,982,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,984,Head,3,0.3333333333333333,0.46927872602275644,0.3333333333333333,0.3333333333333333,0.46927872602275644,0.3333333333333333
Graph+BGE,0,985,Head,3,0.3333333333333333,0.2960819109658652,0.16666666666666666,0.3333333333333333,0.2960819109658652,0.16666666666666666
Graph+BGE,0,995,Head,2,1.0,0.6934264036172708,0.5833333333333333,1.0,0.6934264036172708,0.5833333333333333
Graph+BGE,0,1001,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,0,1002,Head,1,1.0,0.6309297535714575,0.5,1.0,0.6309297535714575,0.5
Graph+BGE,0,1003,Head,2,1.0,0.9197207891481876,0.8333333333333333,1.0,0.9197207891481876,0.8333333333333333
Graph+BGE,0,1008,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
