subset,method_a,method_b,group,metric,num_mashups,mean_a,mean_b,mean_difference,relative_improvement_percent,bootstrap_ci_low,bootstrap_ci_high,wilcoxon_statistic,p_raw,rank_biserial,method_a_win_rate,tie_rate,p_holm_subset_global,p_holm_comparison,significance_global,ci_excludes_zero
full,SCF-LightGCN+BGE,Inductive LightGCN,Unseen,NDCG@10,144,0.18808165046500122,0.0,0.18808165046500122,18808165046500.12,0.1431707704624738,0.235993425367577,0.0,2.3530859990444224e-10,1.0,0.3680555555555556,0.6319444444444444,6.3443775635446235e-09,3.9946080955651335e-09,***,True
full,SCF-LightGCN+BGE,Inductive LightGCN,Unseen,MAP@10,144,0.13595137051734274,0.0,0.13595137051734274,13595137051734.273,0.09777899489271016,0.17756740060993534,0.0,2.34976946797949e-10,1.0,0.3680555555555556,0.6319444444444444,6.3443775635446235e-09,3.9946080955651335e-09,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Head,Recall@5,1487,0.7538458287785793,0.6612320144768026,0.09261381430177665,14.006250797620105,0.07823401190625467,0.10681144173536575,34385.5,3.809496079190462e-35,0.5918392782954478,0.28917283120376597,0.6099529253530599,1.676178274843803e-33,7.618992158380924e-34,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Head,NDCG@5,1487,0.7357821714911215,0.609020335619121,0.12676183587200063,20.814056355464132,0.11390989062461263,0.13998569667149202,79132.5,3.9611666430931955e-76,0.6773690487111275,0.527236045729657,0.33422999327505043,1.82213665582287e-74,8.71456661480503e-75,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Head,MAP@5,1487,0.685548270193529,0.5477773419014172,0.13777092829211188,25.150899417250145,0.12432535835263644,0.15146978909810954,72499.0,1.5335443463300872e-81,0.7026157866023488,0.5238735709482178,0.3362474781439139,7.361012862384419e-80,3.6805064311922094e-80,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Head,Recall@10,1487,0.802793590024592,0.740284684425572,0.06250890559901993,8.443900963252274,0.048380185802008265,0.07679846205737263,35520.0,1.783903038467445e-16,0.4259533102227825,0.2246133154001345,0.6657700067249496,6.422050938482802e-15,2.3190739500076785e-15,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Head,NDCG@10,1487,0.7524879918388112,0.6375070554576817,0.1149809363811296,18.036025703053905,0.10286073569479565,0.12734522804460327,97238.5,6.996509315592636e-72,0.6414251762202666,0.5460659045057162,0.29993275050437124,3.148429192016686e-70,1.4692669562744535e-70,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Head,MAP@10,1487,0.6936381181840839,0.5617824519904852,0.13185566619359892,23.47094782444934,0.11852720582507455,0.14507536759753592,86638.0,3.0146764468079928e-80,0.6792848152809654,0.5453934095494284,0.3012777404169469,1.4168979299997567e-78,6.933755827658384e-79,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Middle,Recall@5,237,0.4229254571026724,0.06118143459915612,0.3617440225035161,591.2643678160919,0.3043600562587905,0.41983122362869196,0.0,3.180041196532166e-20,1.0,0.43037974683544306,0.569620253164557,1.2720164786128664e-18,5.088065914451466e-19,***,True
full,SCF-LightGCN+BGE,Graph+BGE,Middle,NDCG@5,237,0.2949669767604485,0.04029479952191634,0.25467217723853214,632.0224452289829,0.21151829620030535,0.29813139680051615,33.0,9.244922337006973e-20,0.9895701643489254,0.45147679324894513,0.5274261603375527,3.6055197114327196e-18,1.3867383505510459e-18,***,True
