method,mashup_id,group,positive_count,Recall@5,NDCG@5,MAP@5,Recall@10,NDCG@10,MAP@10
Graph+BGE,219,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,219,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,221,Head,3,0.3333333333333333,0.3802215995153535,0.25,0.3333333333333333,0.3802215995153535,0.25
Graph+BGE,221,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,229,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,229,Tail,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,233,Head,1,0.6666666666666666,0.3333333333333333,0.2222222222222222,0.6666666666666666,0.3333333333333333,0.2222222222222222
Graph+BGE,233,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,241,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,247,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,248,Head,4,0.4166666666666667,0.5057832644000537,0.33888888888888885,0.5,0.5521353242369789,0.36666666666666664
Graph+BGE,248,Middle,2,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,254,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,259,Head,1,1.0,0.8769765845238192,0.8333333333333334,1.0,0.8769765845238192,0.8333333333333334
Graph+BGE,268,Head,3,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.7160136518276441,0.5833333333333334
Graph+BGE,268,Tail,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,268,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,271,Head,3,0.6666666666666666,0.6694483258268203,0.5444444444444444,0.6666666666666666,0.6694483258268203,0.5444444444444444
Graph+BGE,272,Head,2,0.8333333333333334,0.8710490642551528,0.8333333333333334,1.0,0.9325742965150088,0.8703703703703703
Graph+BGE,274,Head,1,0.6666666666666666,0.5436432511904858,0.5,1.0,0.648798210119062,0.5416666666666666
Graph+BGE,275,Head,3,0.4444444444444444,0.5679726963447115,0.4444444444444444,0.6666666666666666,0.6694617621748842,0.503968253968254
Graph+BGE,275,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,276,Head,4,0.25,0.17144572649832454,0.06527777777777778,0.6666666666666666,0.38709650458475925,0.2134259259259259
Graph+BGE,287,Head,2,0.5,0.6131471927654584,0.5,0.5,0.6131471927654584,0.5
Graph+BGE,290,Head,2,0.5,0.5377157309218195,0.4166666666666667,0.6666666666666666,0.6058431967846482,0.46428571428571425
Graph+BGE,293,Head,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.7777777777777778,0.7142857142857143
Graph+BGE,299,Head,3,0.5555555555555555,0.5571286908411013,0.4074074074074074,0.7777777777777777,0.6494350062718602,0.4654320987654321
Graph+BGE,299,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,299,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,302,Head,3,0.6666666666666666,0.7653606369886217,0.6666666666666666,0.6666666666666666,0.7653606369886217,0.6666666666666666
Graph+BGE,306,Head,1,1.0,0.7956176024115139,0.7333333333333334,1.0,0.7956176024115139,0.7333333333333334
Graph+BGE,306,Unseen,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,310,Head,1,1.0,0.8333333333333334,0.7777777777777778,1.0,0.8333333333333334,0.7777777777777778
Graph+BGE,312,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,314,Head,3,0.2222222222222222,0.31285248401517096,0.2222222222222222,0.3333333333333333,0.3685726356705717,0.24074074074074073
Graph+BGE,316,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,321,Head,4,0.3333333333333333,0.44071992273470345,0.2833333333333333,0.4166666666666667,0.4870719825716286,0.3111111111111111
Graph+BGE,327,Head,3,0.6666666666666666,0.7448797876704593,0.6296296296296297,0.8888888888888888,0.8527420199950552,0.7328042328042327
Graph+BGE,327,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,328,Head,2,0.3333333333333333,0.20438239758848611,0.1111111111111111,0.5,0.2634621598498354,0.12777777777777777
Graph+BGE,331,Head,1,0.6666666666666666,0.5436432511904858,0.5,1.0,0.6399981932964485,0.5333333333333333
Graph+BGE,334,Head,1,1.0,1.0,1.0,1.0,1.0,1.0
Graph+BGE,334,Middle,1,0.0,0.0,0.0,0.0,0.0,0.0
Graph+BGE,339,Head,1,1.0,0.8102255193577976,0.75,1.0,0.8102255193577976,0.75
Graph+BGE,340,Head,1,0.6666666666666666,0.5436432511904858,0.5,1.0,0.6399981932964485,0.5333333333333333
Graph+BGE,351,Head,2,0.8333333333333334,0.8710490642551528,0.8333333333333334,1.0,0.9438515431945408,0.8888888888888888
Graph+BGE,352,Head,3,0.4444444444444444,0.44759071501553604,0.3055555555555555,0.5555555555555555,0.5033108666709368,0.34259259259259256
Graph+BGE,362,Head,4,0.5,0.5708466060654039,0.3944444444444444,0.5833333333333334,0.6142221671756375,0.43015873015873013
Graph+BGE,370,Head,2,0.8333333333333334,0.8033610990838985,0.6944444444444443,0.8333333333333334,0.8033610990838985,0.6944444444444443
