subset,method,K,group,seeds,eligible_mashups,positive_api_count,macro_recall_mean,macro_recall_std,micro_recall_mean,micro_recall_std,hit_rate_mean,hit_rate_std,ndcg_mean,ndcg_std,map_mean,map_std
full,SCF-LightGCN+BGE,5,Middle,3,237,300,0.4229254571026722,0.0025857631942124244,0.3622222222222222,0.0015713484026367824,0.44725738396624476,0.003445133252859607,0.29496697676044853,0.0014105395539677377,0.2476847944991405,0.0026984544545682583
full,SCF-LightGCN+BGE,5,Tail,3,110,127,0.3181818181818181,0.002142747821777431,0.32545931758530183,0.003711846620401844,0.35454545454545455,0.0,0.22131235753673564,0.0029760229078290915,0.18237373737373738,0.0035360749624675407
full,SCF-LightGCN+BGE,5,Unseen,3,144,196,0.2422453703703704,0.0013094570021973055,0.19217687074829928,0.004810250212153391,0.2523148148148148,0.0032736425054932642,0.15225477317288638,0.0036916339246052376,0.12080632716049383,0.004700426405380095
full,SCF-LightGCN+BGE,10,Head,3,1487,2919,0.802793590024592,0.0023268866100116556,0.6755738266529634,0.0014534568986362504,0.9262497197937684,0.0022860432699362294,0.7524879918388113,0.0007032686415122896,0.6936381181840839,0.0004362130707451921
full,SCF-LightGCN+BGE,10,Middle,3,237,300,0.5260196905766527,0.007903809461731115,0.46222222222222226,0.00874889763779089,0.549929676511955,0.010525055940292391,0.32987929837001445,0.004252564707616009,0.2628217392598546,0.003518703244173893
full,SCF-LightGCN+BGE,10,Tail,3,110,127,0.41060606060606064,0.009340021216619653,0.42782152230971127,0.009820623062398798,0.42727272727272725,0.0074226961902520575,0.25276831609443756,0.005156557617930741,0.19786796536796536,0.004184775712181663
full,SCF-LightGCN+BGE,10,Unseen,3,144,196,0.3462962962962963,0.0032736425054932902,0.2891156462585034,0.0024051251060766953,0.36574074074074076,0.0032736425054932902,0.18808165046500122,0.0035916330226443533,0.13595137051734274,0.004576952447030412
strict_clean,SCF-LightGCN+BGE,5,Head,3,808,1544,0.7124130224377749,0.0039378390017196455,0.5345423143350604,0.002442510470419862,0.8605610561056105,0.0015435880308473369,0.6900976356530689,0.001191700333890397,0.642304959662633,0.0009758318353988607
strict_clean,SCF-LightGCN+BGE,5,Middle,3,107,140,0.20155763239875388,0.011395228135932614,0.17380952380952383,0.00673435029701474,0.22741433021806853,0.008811299454037975,0.12475585311478261,0.0018828872229868661,0.09565074420214607,0.002511879864764654
strict_clean,SCF-LightGCN+BGE,5,Tail,3,53,59,0.1792452830188679,0.016034652558467873,0.2033898305084746,0.01383892510046993,0.20125786163522016,0.017788849841171003,0.12474929425008936,0.004020176771091823,0.10251572327044024,0.0013286620085137366
strict_clean,SCF-LightGCN+BGE,5,Unseen,3,73,105,0.1232876712328767,0.0,0.09523809523809523,0.0,0.1232876712328767,0.0,0.07939134605375221,0.00028299608580074784,0.06461187214611873,0.00032287980876098254
strict_clean,SCF-LightGCN+BGE,10,Head,3,808,1544,0.764180213236525,0.006724675949729584,0.6047063903281521,0.0021371966616173794,0.8972772277227724,0.006310667714842561,0.707341900696326,0.002526495465222668,0.6498017237889228,0.0015093534424903121
strict_clean,SCF-LightGCN+BGE,10,Middle,3,107,140,0.2751817237798546,0.014094254258888134,0.24285714285714285,0.015430334996209187,0.3115264797507788,0.01588479599250089,0.14978260732634996,0.007472002830622737,0.10580007911783612,0.005509327466677989
strict_clean,SCF-LightGCN+BGE,10,Tail,3,53,59,0.29245283018867924,0.007702797933280433,0.3276836158192091,0.007989907132051388,0.29559748427672955,0.008894424920585502,0.16273384598769847,0.001469481577053758,0.1202930018967755,0.0016215240191606568
strict_clean,SCF-LightGCN+BGE,10,Unseen,3,73,105,0.20684931506849313,0.0,0.1619047619047619,0.0,0.2191780821917808,0.0,0.10757432826581548,0.00012792184427161098,0.0763499311444517,0.00013932291647997133
