subset,method,K,group,seeds,group_catalog_size,slot_count_mean,slot_count_std,slot_ratio_mean,slot_ratio_std,unique_recommended_apis_mean,unique_recommended_apis_std,group_catalog_coverage_mean,group_catalog_coverage_std
strict_clean,Graph+BGE,10,Head,3,280,8708.0,57.798500557252055,0.9906712172923777,0.006575483567377898,152.66666666666666,24.997777679003566,0.5452380952380952,0.08927777742501271
strict_clean,Graph+BGE,10,Middle,3,420,79.66666666666667,56.57639869140567,0.009063329541145242,0.006436450363072318,21.666666666666668,6.649979114420001,0.05158730158730159,0.015833283605761906
strict_clean,Graph+BGE,10,Tail,3,697,2.3333333333333335,1.247219128924647,0.00026545316647705726,0.00014189068588448773,2.3333333333333335,1.247219128924647,0.003347680535628886,0.0017894105149564522
strict_clean,Graph+BGE,10,Unseen,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Inductive LightGCN,5,Head,3,280,7670.0,3.7416573867739413,0.9325227963525835,0.0004549127521913455,241.33333333333334,0.9428090415820634,0.861904761904762,0.0033671751485074095
full,Inductive LightGCN,5,Middle,3,420,417.6666666666667,9.030811456096044,0.050780141843971636,0.0010979709977016459,164.0,7.2571803523590805,0.3904761904761905,0.0172790008389502
full,Inductive LightGCN,5,Tail,3,697,137.33333333333334,7.542472332656507,0.016697061803444782,0.0009170179127849867,89.0,5.0990195135927845,0.12769010043041606,0.00731566644704847
full,Inductive LightGCN,5,Unseen,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,Inductive LightGCN,10,Head,3,280,14794.666666666666,43.37690117511341,0.8993718338399189,0.0026368936884567417,273.3333333333333,2.0548046676563256,0.9761904761904763,0.0073385880987726125
full,Inductive LightGCN,10,Middle,3,420,1217.0,47.07440918375928,0.07398176291793312,0.002861666211778676,279.0,4.320493798938574,0.6642857142857143,0.010286889997472792
full,Inductive LightGCN,10,Tail,3,697,438.3333333333333,16.33673433979046,0.026646403242147926,0.000993114549531334,205.66666666666666,3.39934634239519,0.2950741272118604,0.00487711096469898
full,Inductive LightGCN,10,Unseen,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_clean,Inductive LightGCN,5,Head,3,280,4140.0,3.559026084010437,0.9419795221843005,0.0008097897802071643,199.33333333333334,2.8674417556808756,0.7119047619047619,0.01024086341314599
strict_clean,Inductive LightGCN,5,Middle,3,420,198.66666666666666,8.993825042154693,0.04520288206295033,0.0020463765738691023,85.33333333333333,3.0912061651652345,0.2031746031746032,0.007360014678964844
strict_clean,Inductive LightGCN,5,Tail,3,697,56.333333333333336,6.342099196813483,0.012817595752749336,0.001443025983347778,38.333333333333336,2.8674417556808756,0.0549976087996174,0.004113976693946736
strict_clean,Inductive LightGCN,5,Unseen,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strict_clean,Inductive LightGCN,10,Head,3,280,7980.0,26.695817400234567,0.9078498293515359,0.0030370668259652365,252.0,2.8284271247461903,0.9,0.01010152544552207
strict_clean,Inductive LightGCN,10,Middle,3,420,611.3333333333334,30.34615113797611,0.069548729616989,0.0034523493899859085,185.0,11.313708498984761,0.44047619047619047,0.026937401188058936
strict_clean,Inductive LightGCN,10,Tail,3,697,198.66666666666666,13.816254517375139,0.02260144103147516,0.001571815075924361,98.66666666666667,3.39934634239519,0.14155906264945003,0.00487711096469898
strict_clean,Inductive LightGCN,10,Unseen,3,250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
full,SCF-LightGCN+BGE,5,Head,3,280,6247.333333333333,37.56180092712394,0.7595542046605877,0.004566784307249098,261.6666666666667,2.0548046676563256,0.9345238095238096,0.007338588098772565
full,SCF-LightGCN+BGE,5,Middle,3,420,1220.6666666666667,32.25247621845836,0.14840932117527864,0.003921273704371837,262.3333333333333,3.7712361663282534,0.6246031746031746,0.008979133729352952
full,SCF-LightGCN+BGE,5,Tail,3,697,643.6666666666666,1.699673171197595,0.07825734549138803,0.00020664719406657332,260.3333333333333,2.0548046676563256,0.37350549976088,0.0029480698244710424
full,SCF-LightGCN+BGE,5,Unseen,3,250,113.33333333333333,4.496912521077347,0.013779128672745694,0.0005467370846294643,72.66666666666667,2.6246692913372702,0.2906666666666667,0.010498677165349066
full,SCF-LightGCN+BGE,10,Head,3,280,10984.333333333334,26.233989826601334,0.6677406281661601,0.001594771418030452,277.6666666666667,1.247219128924647,0.9916666666666667,0.004454354031873724
full,SCF-LightGCN+BGE,10,Middle,3,420,3187.6666666666665,46.161552063258114,0.19377912867274572,0.002806173377705665,344.3333333333333,3.091206165165235,0.8198412698412699,0.007360014678964818
full,SCF-LightGCN+BGE,10,Tail,3,697,1993.6666666666667,20.725722075613085,0.12119554204660588,0.0012599223146269325,448.0,2.449489742783178,0.642754662840746,0.0035143324860591007
full,SCF-LightGCN+BGE,10,Unseen,3,250,284.3333333333333,4.642796092394707,0.01728470111448835,0.0002822368445224743,133.66666666666666,3.7712361663282534,0.5346666666666667,0.015084944665313026
strict_clean,SCF-LightGCN+BGE,5,Head,3,280,3339.6666666666665,20.997354330698162,0.7598786499810389,0.004777555024049606,226.33333333333334,0.4714045207910317,0.8083333333333332,0.0016835875742536785
strict_clean,SCF-LightGCN+BGE,5,Middle,3,420,630.6666666666666,19.567546828585563,0.14349639742131207,0.004452229085002402,176.0,2.943920288775949,0.41904761904761906,0.007009334020895116
strict_clean,SCF-LightGCN+BGE,5,Tail,3,697,370.0,2.943920288775949,0.08418657565415244,0.0006698339678671111,168.0,2.160246899469287,0.2410329985652798,0.0030993499275025625
strict_clean,SCF-LightGCN+BGE,5,Unseen,3,250,54.666666666666664,3.39934634239519,0.012438376943496398,0.0007734576433208626,37.0,2.8284271247461903,0.14800000000000002,0.011313708498984758
strict_clean,SCF-LightGCN+BGE,10,Head,3,280,5836.666666666667,22.065558884580486,0.664012135001896,0.002510302489713343,256.6666666666667,1.247219128924647,0.9166666666666666,0.004454354031873724
strict_clean,SCF-LightGCN+BGE,10,Middle,3,420,1676.3333333333333,34.56716489515576,0.190709139173303,0.0039325557332372885,270.0,5.887840577551898,0.6428571428571428,0.014018668041790232
strict_clean,SCF-LightGCN+BGE,10,Tail,3,697,1136.0,16.30950643030009,0.12923777019340157,0.0018554614824004665,322.6666666666667,4.027681991198191,0.46293639406982307,0.005778596830987352
strict_clean,SCF-LightGCN+BGE,10,Unseen,3,250,141.0,3.7416573867739413,0.016040955631399317,0.0004256720576534634,77.0,4.320493798938574,0.308,0.01728197519575431
